cid,bookid,catid,title,typeid,thumb,description,gx_type,update_chapter_name,author,status_bz,updatetime,view_type,average_score,rank_id,hit_num,views,vip_tag_name,vip_tag_type
1,1378,31,Lily,0,http://cdn.517w.com/uploadfile/2017/1214/20171214033751797.jpg,我喜欢的那个人，刚好是她……lily粉丝群号：571810715,8,S·251,噼咔噼,1,1550106013,0,4.935,1,1544415102,3961565,,
1,8,32,迷域行者,0,http://cdn.517w.com/uploadfile/2017/1016/thumb_20171016110954261.jpg,从梦中醒来的宁远，发现自己被关入死牢，除了不断靠近的钉板墙和同囚的女性，他一无所知。好不容易逃离死牢的他发现自己被送到了迷域之中的杀戮游戏中，要如何才能逃离迷域，逃离这个死亡游戏？官方粉丝群号：159756318,7,第959话 最终话,七月初七&廿一,1,1539912615,0,4.9259,2,757695516,2218390,,
1,19,31,星梦偶像计划,0,http://cdn.517w.com/uploadfile/2017/0901/20170901105018521.jpg,"前天后的女儿为帮母亲恢复名誉，变装参加选秀，却必须与童年挚友成为竞争对手！
星梦官方群630421592，欢迎大家加入~",1,第254话,烟头hstone×白熊,1,1544069903,0,4.9058,3,1026462491,981614,,
1,13,32,无敌勇者王,0,http://cdn.517w.com/uploadfile/2017/0901/20170901105647988.jpg,少年，我看你骨骼精奇天赋异禀，是万中无一的马猴烧年，成为传说中的勇者王吧！维护世界和平的重任就靠你了！ヽ(??ω?? )ゝ无敌勇者王粉丝群四群：85779511,3,第348话 最终话,孙渣,1,1523859886,0,4.8815,4,1149177994,738133,,
1,2991,31,魔王切治疗,0,http://cdn.517w.com/uploadfile/2019/0524/20190524043438915.jpg,本篇讲述的是一个作为杂鱼门派的无天门，一群不靠谱的弟子在不靠谱的师父的带领下如何将门派发扬光大的故事！,2,第139话,蛮麟,1,1524819674,0,4.9027,5,548395775,682523,,
1,2328,31,Lala,0,http://cdn.517w.com/uploadfile/2019/0524/20190524044640511.jpg,Lily姐妹篇~平行时间中 另一个甜蜜故事~,4,万圣节2,噼咔噼,1,1540602009,1,4.9218,6,253493140,405933,,
1,2589,31,微酸秘密,0,http://cdn.517w.com/uploadfile/2017/0831/thumb_20170831180408450.jpg,"你曾经对爱情迷惘过吗？到底什么才是真正的喜欢……
左奕然正站在爱情的三岔路口烦恼着，前方的两条道路上，一边是向她深情告白、表示追求之意的竹马程北太，另一边却是她无法放下、难以理清情绪的青梅于小悠。
这场兜兜转转，属于三个人的爱情追逐，到底哪一边才是她最后的归宿？",4,第279话 见家长,游游动漫,1,1533299212,1,4.7954,7,253234195,394284,,
1,1144,32,星辰变,0,http://cdn.517w.com/uploadfile/2017/0830/thumb_20170830160957202.jpg,"我吃西红柿《星辰变》原著小说改编！
一名孩童，天生无法修炼内功。为了得到父亲的重视，毅然选择修炼痛苦艰难的外功。然而，真正改变他的命运，是一颗流星化作的神秘晶石——",0,第453话,我吃西红柿/札雅工作室,1,1522821261,0,4.787,8,319168861,348269,,
1,1149,31,杂思录,0,http://cdn.517w.com/uploadfile/2017/0901/20170901095357547.jpg,一个架空的帝国，关于背叛和阴谋的黑暗宫廷故事。上一秒笑，下一秒沦落，直白到露骨，直击人心。杂思录官方一群：239114104,0,请假条,TUTU/左纹,1,1524560064,0,4.9393,9,223521339,340677,,
1,2634,31,为什么后宫男主的我跑到了百合漫画,0,http://cdn.517w.com/uploadfile/2018/0418/20180418054342684.jpg,讲述一个全身都是后宫男主要素的少年明明是要攻略妹子，但结果却让妹子们都在一起了的故事。,1,第九十二集,吉太,1,1533081618,0,4.9121,10,188260627,318547,,
