bookid,catid,title,thumb,description,gx_type,author,average_score,view_type
4626,31,道士，妖怪与偶像明星,http://cdn.517w.com/uploadfile/2018/0713/20180713111118836.jpg,一直以羽族自称的璎珞认定自己的使命就是要让沉睡的凤凰苏醒过来重振羽族的辉煌，因此偷偷溜到凡间。但凡间早已变成了人妖鬼 共存的世界，就此结识了降妖师风清逸以及拥有超凡好运的凡人慕尘音。同时，在追寻神器过程中不谙世事的璎珞在阴差阳错之下“不小心 ”出道成为偶像明星，就这样，一场啼笑皆非轰轰烈烈人妖鬼仙的娱乐圈喜剧就此展开……,2,五千两漫画工作室,4.7692,0
3360,32,心魔游戏,http://cdn.517w.com/uploadfile/2017/0621/20170621095915584.jpg,《心魔游戏》我们身边的每个人，心中或多或少都存在着一个心魔…每一个季度中，都有一个自称心理医生的神秘男子会去寻找7个有着不同心魔的人，让他们参加一场互相厮杀的心魔游戏。胜出心魔游戏的参赛者则可以满足任何要求。但为何心魔游戏背后的操控势力可以做出如此逆天的举动，又为何要举行这一场厮杀的游戏，其真正的势力范围又将是多么不可估计呢…,2,Shin先生/南榛子,4.8715,1
1982,32,天机令,http://cdn.517w.com/uploadfile/2017/0901/20170901125244476.jpg,十三岁的少女柳无意从小与师父浪迹街头，打遍同龄人无敌手，被称为临溪一霸，一天，他们在破庙中发现一个死人，从这人身上发现一块奇怪的令牌，从此，平静的生活开始彻底被打破,2,青羽漫画,4.8647,0
141,31,千织百绘,http://cdn.517w.com/uploadfile/2018/0503/20180503023436708.jpg,自古，妖怪就一直潜伏在人类中，即使是除妖师也很难对付它们。最近，千百年来的平安格局即将被打破，原因仅仅是因为——一部小说。小说暴露了妖怪们的弱点，而高中生作者则陷入了被妖怪们追杀的生活！,1,时光机工作室,4.8741,0
123,32,天使与恶魔的密语,http://cdn.517w.com/uploadfile/2017/0908/20170908100627187.jpg,卷入到碰瓷事件中的少年，却能看见普通人看不见的天使与恶魔，这是稀有的魔眼与天眼的双重拥有者，少年因此成为了天使与恶魔争相拉拢的对象。人类、天使和恶魔之间的搞笑日常就此展开~,0,千海,4.8434,0
69,33,千面男友,http://cdn.517w.com/uploadfile/2017/0606/20170606105640510.jpg,交往多年的男友局晓华居然曾经是个男优！？没脸没皮没心没肺的他凭着盛世美颜踏入演艺圈欲追回自己女友，却引起一众追求，但结果究竟如何呢……,1,猫哭无声,4.8644,0
4025,32,穷途末路,http://cdn.517w.com/uploadfile/2017/1108/thumb_20171108110727859.jpg,天才萝莉与呆板大叔的废土吃鸡之旅，要不要一起？,1,铜主任&pope,4.7273,0
4626,31,道士，妖怪与偶像明星,http://cdn.517w.com/uploadfile/2018/0711/thumb_20180711163308645.jpg,一直以羽族自称的璎珞认定自己的使命就是要让沉睡的凤凰苏醒过来重振羽族的辉煌，因此偷偷溜到凡间。但凡间早已变成了人妖鬼 共存的世界，就此结识了降妖师风清逸以及拥有超凡好运的凡人慕尘音。同时，在追寻神器过程中不谙世事的璎珞在阴差阳错之下“不小心 ”出道成为偶像明星，就这样，一场啼笑皆非轰轰烈烈人妖鬼仙的娱乐圈喜剧就此展开……,2,五千两漫画工作室,4.7692,0
3937,32,中华诡域谈,http://cdn.517w.com/uploadfile/2018/0128/thumb_20180128154717402.jpg,中华大地宽广无垠，奇境诡域亦有无数。在这些土地上，任何有违常理不可想象的惊奇恐怖之事都会发生。只有你想不到，没有你看不到。人间有传：一入此域，诡事纷至；若不能度，死生成迷……,2,燕子青,4.3496,0
3872,33,上锁的幸运,http://cdn.517w.com/uploadfile/2017/0911/thumb_20170911162650283.jpg,缘分总是捉摸不定，暑假期间，男主桐克本是在表哥的威逼利诱下兼职送快递，未曾想到，却因为这个契机认识了一个貌似自闭的男孩，男二幸生，命运的轨迹从此交错在一起。,1,式虫,4.8488,1
