bookid,catid,title,typeid,thumb,description,gx_type,update_chapter_name,author,status_bz,updatetime,view_type,thumb_3,show_label,rank_id,views,vip_tag_name,vip_tag_type
1378,31,Lily,0,http://cdn.517w.com/uploadfile/2017/1214/20171214033751797.jpg,我喜欢的那个人，刚好是她……lily粉丝群号：571810715,8,S·251,噼咔噼,1,1550106013,0,http://cdn.517w.com/uploadfile/2016/1118/20161118125216369.jpg,"[[11,""校园""]]",1,3961565,,
8,32,迷域行者,0,http://cdn.517w.com/uploadfile/2017/1016/thumb_20171016110954261.jpg,从梦中醒来的宁远，发现自己被关入死牢，除了不断靠近的钉板墙和同囚的女性，他一无所知。好不容易逃离死牢的他发现自己被送到了迷域之中的杀戮游戏中，要如何才能逃离迷域，逃离这个死亡游戏？官方粉丝群号：159756318,7,第959话 最终话,七月初七&廿一,1,1539912615,0,http://cdn.517w.com/uploadfile/2017/0410/20170410103328943.jpg,"[[9,""悬疑""]]",2,2218390,,
19,31,星梦偶像计划,0,http://cdn.517w.com/uploadfile/2017/0901/20170901105018521.jpg,"前天后的女儿为帮母亲恢复名誉，变装参加选秀，却必须与童年挚友成为竞争对手！
星梦官方群630421592，欢迎大家加入~",1,第254话,烟头hstone×白熊,1,1544069903,0,http://cdn.517w.com/uploadfile/2016/1118/20161118113058141.jpg,"[[19,""竞技""]]",3,981614,,
13,32,无敌勇者王,0,http://cdn.517w.com/uploadfile/2017/0901/20170901105647988.jpg,少年，我看你骨骼精奇天赋异禀，是万中无一的马猴烧年，成为传说中的勇者王吧！维护世界和平的重任就靠你了！ヽ(??ω?? )ゝ无敌勇者王粉丝群四群：85779511,3,第348话 最终话,孙渣,1,1523859886,0,http://cdn.517w.com/uploadfile/2016/1118/20161118111636240.jpg,"[[5,""魔幻""]]",4,738133,,
2991,31,魔王切治疗,0,http://cdn.517w.com/uploadfile/2019/0524/20190524043438915.jpg,本篇讲述的是一个作为杂鱼门派的无天门，一群不靠谱的弟子在不靠谱的师父的带领下如何将门派发扬光大的故事！,2,第139话,蛮麟,1,1524819674,0,http://cdn.517w.com/uploadfile/2017/1025/20171025055753492.jpg,"[[15,""百合""]]",5,682523,,
2328,31,Lala,0,http://cdn.517w.com/uploadfile/2019/0524/20190524044640511.jpg,Lily姐妹篇~平行时间中 另一个甜蜜故事~,4,万圣节2,噼咔噼,1,1540602009,1,http://cdn.517w.com/uploadfile/2016/1118/20161118121615335.jpg,"[[11,""校园""]]",6,405933,,
2589,31,微酸秘密,0,http://cdn.517w.com/uploadfile/2017/0831/thumb_20170831180408450.jpg,"你曾经对爱情迷惘过吗？到底什么才是真正的喜欢……
左奕然正站在爱情的三岔路口烦恼着，前方的两条道路上，一边是向她深情告白、表示追求之意的竹马程北太，另一边却是她无法放下、难以理清情绪的青梅于小悠。
这场兜兜转转，属于三个人的爱情追逐，到底哪一边才是她最后的归宿？",4,第279话 见家长,游游动漫,1,1533299212,1,http://cdn.517w.com/uploadfile/2016/1115/20161115090711553.jpg,"[[13,""恋爱""]]",7,394284,,
1144,32,星辰变,0,http://cdn.517w.com/uploadfile/2017/0830/thumb_20170830160957202.jpg,"我吃西红柿《星辰变》原著小说改编！
一名孩童，天生无法修炼内功。为了得到父亲的重视，毅然选择修炼痛苦艰难的外功。然而，真正改变他的命运，是一颗流星化作的神秘晶石——",0,第453话,我吃西红柿/札雅工作室,1,1522821261,0,http://cdn.517w.com/uploadfile/2017/0906/20170906031508550.jpg,"[[12,""玄幻""]]",8,348269,,
1149,31,杂思录,0,http://cdn.517w.com/uploadfile/2017/0901/20170901095357547.jpg,一个架空的帝国，关于背叛和阴谋的黑暗宫廷故事。上一秒笑，下一秒沦落，直白到露骨，直击人心。杂思录官方一群：239114104,0,请假条,TUTU/左纹,1,1524560064,0,http://cdn.517w.com/uploadfile/2017/0329/20170329055656129.jpg,"[[16,""古风""]]",9,340677,,
2634,31,为什么后宫男主的我跑到了百合漫画,0,http://cdn.517w.com/uploadfile/2018/0418/20180418054342684.jpg,讲述一个全身都是后宫男主要素的少年明明是要攻略妹子，但结果却让妹子们都在一起了的故事。,1,第九十二集,吉太,1,1533081618,0,http://cdn.517w.com/uploadfile/2016/1122/20161122054523925.jpg,"[[15,""百合""]]",10,318547,,
558,32,校花的贴身高手,0,http://cdn.517w.com/uploadfile/2018/0604/20180604115250614.jpg,"改编自鱼人二代同名小说《校花的贴身高手》。
一个大山里走出来的绝世高手，林逸表面上是一名普通学生，不过，他还是一名修炼者！并且身负另外一个重任，那就是追校花！",0,第426话,笑水轩/鱼人二代,1,1532594160,0,http://cdn.517w.com/uploadfile/2016/1118/20161118114836282.jpg,"[[12,""玄幻""]]",13,284403,,
1043,33,恋爱的无休止境,0,http://cdn.517w.com/uploadfile/2018/0221/thumb_20180221220302587.jpg,一个谈恋爱的小清新故事，周日更新√具体时间点要看过审情况,1,第八章11,Suuygo,1,1530364683,0,http://cdn.517w.com/uploadfile/2017/0911/20170911101512392.jpg,,14,236912,,
